c_Cod;d_Inizio;d_Fine;v_Descrizione;b_Bacino;c_CodiceRegione;c_CodAslTerritoriale;c_Provincia;c_ComuneFiscale;c_Regione
001092;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;COLLERETTO GIACOSA;NULL;010;109;TO;C868 ;150
001092;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;COLLERETTO GIACOSA;NULL;010;204;TO;C868 ;150
001093;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CONDOVE;NULL;010;105;TO;C955 ;150
001093;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CONDOVE;NULL;010;203;TO;C955 ;150
001094;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CORIO;NULL;010;106;TO;D008 ;150
001094;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CORIO;NULL;010;204;TO;D008 ;150
001095;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;COSSANO CANAVESE;NULL;010;109;TO;D092 ;150
001095;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;COSSANO CANAVESE;NULL;010;204;TO;D092 ;150
001096;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CUCEGLIO;NULL;010;109;TO;D197 ;150
001096;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CUCEGLIO;NULL;010;204;TO;D197 ;150
001097;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CUMIANA;NULL;010;110;TO;D202 ;150
001097;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CUMIANA;NULL;010;203;TO;D202 ;150
001098;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CUORGNE';NULL;010;109;TO;D208 ;150
001098;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CUORGNE';NULL;010;204;TO;D208 ;150
001099;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;DRUENTO;NULL;010;106;TO;D373 ;150
001099;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;DRUENTO;NULL;010;203;TO;D373 ;150
001100;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;EXILLES;NULL;010;105;TO;D433 ;150
001100;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;EXILLES;NULL;010;203;TO;D433 ;150
001101;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;FAVRIA;NULL;010;109;TO;D520 ;150
001101;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;FAVRIA;NULL;010;204;TO;D520 ;150
001102;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;FELETTO;NULL;010;109;TO;D524 ;150
001102;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;FELETTO;NULL;010;204;TO;D524 ;150
001103;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;FENESTRELLE;NULL;010;110;TO;D532 ;150
001103;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;FENESTRELLE;NULL;010;203;TO;D532 ;150
001104;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;FIANO;NULL;010;106;TO;D562 ;150
001104;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;FIANO;NULL;010;204;TO;D562 ;150
001105;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;FIORANO CANAVESE;NULL;010;109;TO;D608 ;150
001105;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;FIORANO CANAVESE;NULL;010;204;TO;D608 ;150
001106;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;FOGLIZZO;NULL;010;107;TO;D646 ;150
001106;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;FOGLIZZO;NULL;010;204;TO;D646 ;150
001107;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;FORNO CANAVESE;NULL;010;109;TO;D725 ;150
001107;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;FORNO CANAVESE;NULL;010;204;TO;D725 ;150
001108;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;FRASSINETTO;NULL;010;109;TO;D781 ;150
001108;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;FRASSINETTO;NULL;010;204;TO;D781 ;150
001109;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;FRONT;NULL;010;106;TO;D805 ;150
001109;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;FRONT;NULL;010;204;TO;D805 ;150
001110;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;FROSSASCO;NULL;010;110;TO;D812 ;150
001110;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;FROSSASCO;NULL;010;203;TO;D812 ;150
001111;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;GARZIGLIANA;NULL;010;110;TO;D931 ;150
001111;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;GARZIGLIANA;NULL;010;203;TO;D931 ;150
001112;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;GASSINO TORINESE;NULL;010;107;TO;D933 ;150
001112;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;GASSINO TORINESE;NULL;010;204;TO;D933 ;150
